Level,Modality,Module,Description,Example
5,Reading,Module 2: Narrating,"Can read an extended narration, summarize the sequence of events and why they mattered, and identify at least one clearly telling action or detail that signals how someone felt, even though the feeling is never named directly, decoding unfamiliar words as needed.","Given a paragraph about a coworker's difficult commute that says they ""checked the time every few minutes, then checked it again,"" the student summarizes what happened and identifies that repeated, countable action as a clear signal of anxiety, even though the word ""anxious"" never appears."
5,Writing,Module 2: Narrating,"Can write an extended narration of a personal event, stating why it mattered and including at least one detail that implies a feeling without naming it directly, working independently.","Asked about their first week at a new job, the student writes a paragraph recounting it, including a detail (rehearsing what to say before a meeting) that implies nervousness without ever writing the word."
5,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to an extended spoken explanation of a semi-familiar multi-step process, summarize how the steps or causes connect, and identify one clear signal word or phrase (e.g. ""which happens more than you'd think,"" ""unfortunately"") that shows the speaker's frustration with a step, even though the frustration is never named directly. Speaking: Can explain a semi-familiar multi-step process, and include at least one clear signal word or phrase that shows frustration or preference about a step without stating it outright, working independently.","Asked how their commute usually goes, the student explains the multi-step process and adds ""and then, if the bus is late, which happens more than you'd think, I just walk"" -- the phrase ""more than you'd think"" is a clear, recognizable signal of frustration with the bus's reliability, without the student saying ""the bus is unreliable."""
5,Reading,Module 3: Explaining,"Can read an extended explanation, summarize the steps or causes and how they connect, and identify at least one clear signal word or phrase that shows the writer's frustration or preference about a step, even though it is never named directly, decoding unfamiliar words as needed.","Given a paragraph explaining how a package gets delivered that says a step ""usually, but not always, happens on time,"" the student summarizes the process and identifies ""but not always"" as a clear, recognizable signal of mild frustration with that step's reliability."
5,Writing,Module 3: Explaining,"Can write an extended explanation of a semi-familiar multi-step process, including at least one moment that implies a preference or frustration about a step without stating it directly, working independently.","Asked how their team handles a request at work, the student writes a paragraph explaining the process and includes a phrase (""which takes longer than it probably should"") that implies frustration without directly criticizing the process."
5,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to an extended spoken set of instructions for a moderately complex task, including one flagged risk, summarize the steps, and identify one clear signal (repetition, ""seriously,"" ""make sure"") that shows a step matters more than the others. Speaking: Can give an extended set of instructions for a moderately complex familiar task, flagging one risk and using a clear signal (repetition or an emphasis word) to show that one step matters more than the others, working independently.","Asked how to set up their home wifi router, the student gives instructions and says ""and don't forget to restart the modem, seriously, don't skip that"" -- the repeated instruction and the word ""seriously"" are a clear, recognizable signal that this step is a common failure point."
5,Reading,Module 4: Instructing,"Can read an extended set of instructions, summarize the steps and the flagged risk, and identify at least one clear signal word or phrase (e.g. ""make sure,"" ""be careful here"") that shows a step matters more than the others, decoding unfamiliar words as needed.","Given instructions for jump-starting a car where one step includes the words ""be very careful here,"" the student summarizes the steps and identifies that phrase as a clear signal that this step is riskier than the others, even without a separate warning label."
5,Writing,Module 4: Instructing,"Can write an extended set of instructions for a moderately complex familiar task, flagging one risk and implying, through emphasis or word choice, that one step matters more than the others, working independently.","Asked how to use the office coffee machine, the student writes instructions and adds ""make sure it's actually off before you leave"" in a way that implies this is where people usually go wrong, without stating that outright."
5,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to an extended spoken evaluation that weighs two criteria, summarize the criteria and verdict, and identify one clear hedging word or phrase (e.g. ""for now,"" ""so far"") that signals a reservation about the verdict. Speaking: Can evaluate something using two criteria weighed against each other, and include at least one clear hedging word or phrase that signals a reservation about the verdict, working independently.","Asked to evaluate their current job, the student weighs pay against work-life balance and adds ""so overall it's good, for now"" -- the phrase ""for now"" is a clear, recognizable hedge that signals a reservation about the future, without directly saying they're worried."
5,Reading,Module 5: Evaluating,"Can read an extended evaluation, summarize the criteria and the overall verdict, and identify at least one clear hedging word or phrase that signals a reservation about the writer's own verdict, decoding unfamiliar words as needed.","Given a review weighing a phone plan's price against its coverage that ends with ""solid choice, at least for now,"" the student summarizes the trade-off and verdict, and identifies ""at least for now"" as a clear, recognizable hedge signaling a reservation."
5,Writing,Module 5: Evaluating,"Can write an extended evaluation using two criteria weighed against each other, including at least one moment that implies a reservation about the verdict without stating it directly, working independently.","Asked to evaluate a nearby gym, the student weighs price against equipment quality and ends with ""worth it, as long as it stays this way"" -- implying an unstated worry about future price increases."
5,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to an extended spoken argument with a claim, two reasons, and an addressed counterargument, summarize all three, and identify one clear hedging word or phrase (e.g. ""I guess,"" ""probably"") that signals the speaker is less than fully certain. Speaking: Can construct an extended argument with a claim, two reasons, and an addressed counterargument, including at least one clear hedging word or phrase that signals partial uncertainty, working independently.","Asked their opinion on remote work, the student argues for it, addresses the isolation counterpoint, and adds ""though I guess it depends on the person"" -- ""I guess"" is a clear, recognizable hedge that signals the argument isn't fully absolute, without directly walking it back."
5,Reading,Module 6: Arguing,"Can read an extended argument, summarize the claim, its two reasons, and the addressed counterargument, and identify at least one clear hedging word or phrase that signals the writer's partial uncertainty, decoding unfamiliar words as needed.","Given a paragraph arguing for a four-day work week that ends with ""though results probably vary by industry,"" the student summarizes the claim and reasons, and identifies ""probably vary"" as a clear, recognizable hedge signaling the writer isn't fully certain the argument applies everywhere."
5,Writing,Module 6: Arguing,"Can write an extended argument with a claim, two reasons, and an addressed counterargument, including at least one moment that implies partial uncertainty without stating it directly, working independently.","Asked their opinion on carpooling to work, the student argues for it, addresses the scheduling counterpoint, and ends with ""at least, it's worked for me so far"" -- implying an unstated awareness that it might not work for everyone."
5,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to an extended spoken transactional message that states a purpose, gives detail, and requests an outcome, summarize all three, and identify one clear urgency signal within polite phrasing (e.g. ""really appreciate,"" ""as soon as possible"") even though the word ""urgent"" is never used. Speaking: Can deliver an extended transactional message stating a purpose, giving detail, and requesting an outcome, using a clear urgency signal within polite phrasing without using the word ""urgent"" directly, working independently.","Calling to reschedule an appointment, the student explains the conflict, gives their availability, and adds ""if there's any way to fit me in sooner, I'd really appreciate it"" -- ""really appreciate"" and ""sooner"" are clear, recognizable urgency signals, without the student saying ""this is urgent."""
5,Reading,Module 7: Transacting,"Can read an extended transactional message, summarize the purpose, the detail given, and the requested outcome, and identify at least one clear urgency signal within polite phrasing, decoding unfamiliar words as needed.","Given a message requesting a refund that says ""I'd appreciate a response whenever you get a chance, though sooner would be great,"" the student summarizes the request and identifies ""sooner would be great"" as a clear, recognizable urgency signal within the polite wording."
5,Writing,Module 7: Transacting,"Can write an extended transactional message stating a purpose, giving detail, and requesting an outcome, using polite phrasing that implies urgency without stating it directly, working independently.","Needing to reschedule a delivery, the student writes a message explaining the conflict and proposing a new time, phrasing the request as ""if at all possible"" in a way that implies real time pressure without stating a deadline outright."
5,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to an extended spoken social message, summarize its tone and purpose, and identify one clear intensifying word (e.g. ""honestly,"" ""really,"" ""genuinely"") that signals a feeling that isn't named directly. Speaking: Can deliver an extended social message matching tone to the occasion, including at least one clear intensifying word that signals a feeling without naming it directly, working independently.","Congratulating a coworker on a promotion, the student says ""you've earned every bit of this, honestly"" -- ""honestly"" is a clear, recognizable signal of genuine happiness for the person beyond simple politeness, without stating a feeling directly."
5,Reading,Module 8: Socializing,"Can read an extended social message, summarize its tone and purpose, and identify at least one clear intensifying word that signals a feeling that isn't named directly, decoding unfamiliar words as needed.","Given a thank-you note that says ""I genuinely don't know what I would have done without your help,"" the student summarizes what it's thanking the recipient for and identifies ""genuinely"" as a clear, recognizable signal of real relief, not just politeness."
5,Writing,Module 8: Socializing,"Can write an extended social message matching tone to the occasion, including at least one word choice that implies a feeling without naming it directly, working independently.","Thanking a mentor for their help, the student writes ""I don't think I would have gotten through that project without you"" -- implying genuine gratitude and relief without writing ""I am grateful"" outright."
6,Listening/Speaking,Module 1: Describing,"Listening: Can listen to an extended spoken description and distinguish the speaker's stated facts from their clearly-signaled evaluative comments (e.g. ""the real upside is,"" ""what's nice about it is""). Speaking: Can deliver a fluent, integrated extended description that moves between features and their significance without a fixed template, explicitly explaining why at least one feature matters, and adjusting register or approach at least once in response to a specific listener reaction, using complex sentence structures with sustained control.","Describing a product to a friend deciding whether to buy it, the student says ""It's not cheap, but it's built to last, and honestly, that's the real upside,"" clearly flagging ""the real upside"" as their own evaluation rather than a plain fact, then notices their friend still looks unconvinced and switches from general praise to one concrete comparison that speaks directly to the friend's stated budget."
6,Reading,Module 1: Describing,"Can read an extended description and identify specific word choices that create a positive, negative, or neutral impression, separating explicitly stated description from clearly-signaled evaluative comments, and locate at least one place where the writer's language visibly shifts partway through (e.g. from confident claims to a hedge like ""results may vary"").","Given a product description that opens with confident marketing language and grows more hedged in its final lines (""results may vary""), the student separates fact from clearly-signaled opinion throughout and locates the shift into hedged language at the end of the text."
6,Writing,Module 1: Describing,"Can write a fluent, integrated extended description that moves between features and their significance without a fixed template, explicitly explaining why at least one feature matters to a specified reader, and adjusting register or approach at least once to address a stated reader concern, using complex sentence structures with sustained control and high independence.","Asked to describe their apartment to a prospective roommate who mentioned caring most about quiet, the student writes an integrated description that opens broadly, then shifts specifically to noise and layout once that priority is on the page, rather than following a fixed two-part structure."
6,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to a complex or nuanced narrative and identify one clearly missing piece of information (e.g. ""they never mention what the other person said"") that suggests the account may be one-sided, in addition to summarizing events. Speaking: Can narrate a complex event fluently, integrating reported speech and shifting between what happened and its significance without a fixed template, adjusting register or pacing at least once in response to a specific listener reaction, using complex sentence structures with sustained control.","Told about a disagreement between two coworkers only from one person's account, the student notices and can point to the specific missing piece (the account never mentions what the other person actually said); retelling their own story about a project setback, the student notices the listener seems impatient and skips ahead to the outcome before circling back to one key detail that explains it."
6,Reading,Module 2: Narrating,"Can read an extended narrative and identify specific pacing choices as heightening or minimizing significance, separating stated events from clearly-signaled reactions, and locate at least one place where the narrative's tone visibly shifts partway through (e.g. from neutral to noticeably more sympathetic language).","Given an account of a workplace incident that stays neutral until a final paragraph that turns notably more sympathetic to one person, the student identifies both the pacing choice that builds sympathy and locates exactly where the tone shifts to more sympathetic language."
6,Writing,Module 2: Narrating,"Can write a fluent, integrated extended narrative that makes explicit why events mattered, shifting between narration and reflection without a fixed template, and adjusting register or approach at least once to address a specified reader's likely reaction, using complex sentence structures with sustained control and high independence.","Asked to recount a project that failed for an audience they know will be skeptical of excuses, the student narrates the failure plainly, then shifts to a more concrete, evidence-based register when explaining what they changed afterward, rather than following a fixed two-part structure."
6,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to a complex or technical explanation and evaluate the strength or limitation of the reasoning used. Speaking: Can explain a complex phenomenon fluently, integrating mechanism and likely misconceptions without a fixed template, adjusting depth or register at least once in response to a specific listener signal of confusion or familiarity, using complex sentence structures with sustained control.","Explaining why their internet is slow, the student covers the actual cause, adds unprompted that it's not the router like people usually think, then notices the listener already seems to know the basics and skips ahead to the more technical detail instead of re-explaining what's obvious."
6,Reading,Module 3: Explaining,"Can read an extended explanation and classify specific causal claims as direct cause or contributing factor, and locate at least one place where the explanation visibly shifts in technicality partway through (e.g. from plain language into denser vocabulary).","Given an explanation of a product recall that starts in plain language and shifts into denser technical detail midway, the student classifies the causal claims as direct causes or contributing factors, and locates the point where the language shifts into denser technical vocabulary."
6,Writing,Module 3: Explaining,"Can write a fluent, integrated extended explanation that distinguishes direct causes from contributing factors, shifting between accessible and technical register without a fixed template to serve a specified reader, and adjusting depth at least once to head off a likely point of confusion, using complex sentence structures with sustained control and high independence.","Asked to explain a recurring problem at work to a manager who isn't technical, the student separates the main cause from contributing factors, then adds a plain-language aside right where a non-technical reader would otherwise get lost, rather than following a fixed two-part structure."
6,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to a complex set of instructions for an unfamiliar procedure and evaluate its efficiency or appropriateness for the context. Speaking: Can give instructions for a complex procedure fluently, integrating conditional branching without a fixed template, adjusting detail or pacing at least once in response to a specific listener signal of confusion or confidence, using complex sentence structures with sustained control.","Explaining how to file an expense report, the student covers the standard steps, adds unprompted what to do if a receipt is missing, then notices the listener nodding along confidently and speeds through the remaining routine steps rather than over-explaining them."
6,Reading,Module 4: Instructing,"Can read an extended set of instructions and classify individual steps as essential, recommended, or optional, identifying specific language that signals each step's priority, and identifying at least one place where the level of detail shifts to match a step's risk or complexity.","Given software setup instructions that stay brief until a step involving account security, where the language becomes noticeably more detailed and cautious, the student classifies the priority of each step and identifies that shift as the writer flagging higher risk."
6,Writing,Module 4: Instructing,"Can write a fluent, integrated set of instructions that adapts explanation depth to anticipated user skill level, shifting detail without a fixed template to match each step's risk or complexity, and adjusting register at least once for a step most users get stuck on, using complex sentence structures with sustained control and high independence.","Asked to write setup instructions for a new team member, the student keeps most steps brief but adds noticeably more detail and a plainer tone at the exact step new hires usually get stuck on, rather than giving every step equal treatment."
6,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to an extended evaluation of something and evaluate the validity of the judgment made. Speaking: Can evaluate something fluently, integrating explicit, well-justified criteria and a verdict without a fixed template, adjusting emphasis or tone at least once in response to a specific listener pushback, using complex sentence structures with sustained control.","Evaluating a service they use, the student states their criteria, gives a verdict, adds unprompted that some people say it's overpriced but disagrees for what you get, then hears genuine pushback on that point and shifts to a more concrete example to defend it rather than repeating the same claim."
6,Reading,Module 5: Evaluating,"Can read an extended evaluation and evaluate how the writer weighs criteria against one another to reach an overall judgment, distinguishing a justified conclusion from a merely asserted one, and locate at least one place where the writer's language visibly becomes more defensive or detailed (a likely response to pushback), without needing to infer the specific objection being addressed.","Given a product review that stays measured until a paragraph that turns noticeably more detailed and defensive, the student identifies the writer's actual reasoning versus restated opinion, and locates the point where the writing becomes more defensive in tone."
6,Writing,Module 5: Evaluating,"Can write a fluent, integrated extended evaluation that weighs criteria against one another to reach a justified overall judgment, shifting tone without a fixed template to address a likely counter-evaluation, and adjusting emphasis at least once for a specified skeptical reader, using complex sentence structures with sustained control and high independence.","Asked to evaluate two commute options for a reader who's already said they hate long commutes, the student weighs time against cost, then gives extra weight and detail to the time comparison specifically because that's what the reader cares about most."
6,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to an extended argument and evaluate the strength of its evidence and reasoning. Speaking: Can construct a fluent, well-evidenced argument, integrating a rebutted counterargument without a fixed template, qualifying claims appropriately, and adjusting strategy or tone at least once in response to specific listener pushback, using complex sentence structures with sustained control.","Arguing for a change at work, the student presents the case, adds unprompted that it'll slow things down at first but pays off long-term, then hears real pushback on the short-term cost and shifts from asserting the long-term gain to citing a specific number to back it up."
6,Reading,Module 6: Arguing,"Can read an extended argument and evaluate how the writer weighs the strength of evidence against the counterargument to reach a qualified conclusion, distinguishing a well-supported conclusion from an overstated one, and locate at least one place where the writer's approach visibly shifts (e.g. from principle-based claims to concrete data), without needing to infer the specific objection being anticipated.","Given an opinion piece that argues from principle early on and shifts to concrete data partway through, the student evaluates whether the conclusion is actually supported, and locates the point where the argument shifts from principle-based claims to data-based claims."
6,Writing,Module 6: Arguing,"Can write a fluent, integrated extended argument that weighs its own evidence against a counterargument to reach a persuasive, qualified conclusion, shifting strategy without a fixed template, and adjusting tone at least once for a specified skeptical reader, using complex sentence structures with sustained control and high independence.","Asked their opinion on a workplace policy change for an audience they know is skeptical, the student presents their case, then shifts from a confident to a more measured, evidence-first tone specifically at the point where they address the main objection."
6,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to a complex or high-stakes transactional exchange and evaluate whether the approach taken was effective. Speaking: Can carry out a complex transactional exchange fluently, integrating persuasive and diplomatic language without a fixed template, and adjusting strategy or tone at least once in response to a specific reaction from the other party, using complex sentence structures with sustained control.","Disputing an incorrect charge, the student states the issue clearly and proposes a resolution, then notices the representative getting defensive, shifts to a more collaborative tone and reframes the request as a shared problem to solve rather than repeating the original complaint."
6,Reading,Module 7: Transacting,"Can read a transactional communication and identify the stated request, and locate at least one place where the writer's tone visibly shifts as the message progresses (e.g. from diplomatic to more direct), without needing to infer the writer's underlying strategy for that shift.","Given a complaint email that opens diplomatically and grows more direct by the final paragraph, the student identifies the actual request stated in the opening, and locates the point where the writer's language becomes noticeably more direct."
6,Writing,Module 7: Transacting,"Can write a fluent, integrated transactional message that adjusts tone and strategy for a sensitive situation, shifting register without a fixed template as the message progresses, and adjusting approach at least once for a specified likely reaction from the reader, using complex sentence structures with sustained control and high independence.","Writing a formal complaint about a service issue to a company known for slow responses, the student opens diplomatically, states the problem clearly, then shifts to more direct, specific language when requesting a resolution, anticipating the reader might otherwise not act on it."
6,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to a complex or delicate social exchange and evaluate whether the response given was socially appropriate. Speaking: Can navigate a complex social exchange fluently, integrating diplomatic and face-saving language without a fixed template, and adjusting tone or approach at least once in response to a specific reaction from the other person, using complex sentence structures with sustained control.","Needing to correct a friend's misunderstanding without embarrassing them, the student does so gently, checks in on how they're taking it, notices the friend still seems hurt, and shifts to a warmer, more reassuring tone before moving the conversation forward."
6,Reading,Module 8: Socializing,"Can read a social communication and identify tactful phrasing versus a blunt statement of the same content, and locate at least one place where the writer's tone visibly shifts as the message progresses (e.g. from warm to more careful and formal), without needing to infer the writer's underlying emotional state.","Given a message declining an invitation that opens warmly and grows more careful and formal toward the actual ""no,"" the student identifies which phrases are softening the refusal, and locates the point where the message's tone becomes more careful and formal."
6,Writing,Module 8: Socializing,"Can write a fluent, integrated social message that navigates a socially delicate situation with sustained tact, shifting register without a fixed template as the message progresses, and adjusting tone at least once for a specified likely reaction from the reader, using complex sentence structures with sustained control and high independence.","Writing to decline a friend's business proposal without damaging the friendship, the student opens warmly, softens the refusal itself, then shifts to a slightly more practical, reassuring tone toward the end anticipating the friend might worry about the friendship itself."
7,Listening/Speaking,Module 1: Describing,"Listening: Can listen to two extended spoken descriptions of the same subject, critically assess how each speaker's rhetorical choices shape a different impression, and identify at least one unstated interest or assumption behind one speaker's framing that neither speaker states outright. Speaking: Can deliver a well-structured spoken description that deliberately selects and emphasizes detail to shape listener perception, self-monitoring and smoothly repairing at least one imprecise word choice mid-delivery, using idiomatic vocabulary and flexible register control.","Given two spoken descriptions of the same neighborhood — one from a real estate agent, one from a resident — the student explains that the agent emphasizes proximity to downtown while omitting noise, and infers the agent's unstated interest in closing a sale even though it's never said; describing their own hometown afterward, the student catches themselves calling a street ""dangerous,"" softens it to ""not the safest at night,"" and continues without losing momentum."
7,Reading,Module 1: Describing,"Can read two extended descriptions of the same subject, critically assess how each writer's rhetorical choices shape a different impression, and identify at least one unstated interest or assumption behind one writer's framing that isn't explicitly acknowledged, using sophisticated inference and register awareness.","Given a paid ad and an independent review of the same restaurant, the student identifies which details each writer chose to include or omit, and infers that the ad's cheerful tone serves an unstated commercial interest the text never admits to."
7,Writing,Module 1: Describing,"Can write a nuanced, well-structured extended description that shapes reader perception through deliberate selection and emphasis of detail, embeds at least one unstated implication the reader must infer rather than being told directly, and shows evidence of unprompted self-revision for clarity and effect, using sophisticated cohesion, idiomatic and precise vocabulary, and flexible register control.","Asked to write a tourism-brochure description of their city, the student deliberately emphasizes its charm and downplays its traffic — letting the omission itself imply something a careful reader would notice — then revises the draft on their own to sharpen that framing further."
7,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to two extended narratives covering the same or related events, critically assess how each storyteller's structural choices shape what the listener is meant to conclude, and identify at least one unstated motive behind one teller's version that isn't directly admitted. Speaking: Can narrate with rhetorical control, deliberately shaping structure and emphasis for a specific audience effect, self-monitoring and smoothly repairing at least one point where the sequence of events comes out unclear.","Given two colleagues' accounts of the same office conflict, the student identifies that one account opens with the other person's mistake and omits their own, and infers the unstated motive of protecting their own reputation; telling their own story about a project delay, the student notices they've described two events out of order, briefly clarifies the sequence, and continues smoothly."
7,Reading,Module 2: Narrating,"Can read two extended narratives covering the same or related events, critically assess how each writer's structural choices shape what the reader is meant to conclude, and identify at least one unstated motive or interest behind one writer's structural choices, using sophisticated inference and register awareness.","Given two news articles about the same event with different opening paragraphs, the student identifies which is structured to build sympathy for a specific party, and infers the unstated editorial interest that shapes that structuring choice."
7,Writing,Module 2: Narrating,"Can write a nuanced, well-structured extended narrative that shapes reader understanding of significance through deliberate pacing and selection of detail, embeds at least one implication about a character's or the narrator's own motive that the reader must infer, and shows evidence of unprompted self-revision, using sophisticated cohesion, idiomatic and precise vocabulary, and flexible register control.","Asked to write about a difficult decision, the student deliberately withholds the outcome until the final sentence and lets a small, unexplained detail earlier in the story hint at their real motive without stating it, then revises the pacing on their own."
7,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to two competing explanations of the same phenomenon, critically assess the underlying assumptions each relies on, and identify at least one unstated limitation or gap in the stronger explanation itself. Speaking: Can explain complex phenomena with precision and rhetorical control, deliberately structuring the explanation step-by-step for a specified audience, self-monitoring and smoothly repairing at least one point where the explanation gets ahead of what the audience likely follows.","Given two explanations for a company's sales drop, the student identifies the unstated assumption each depends on, judges one more defensible, but also notes an unstated limitation in that stronger explanation; explaining a process to a colleague, the student notices a confused look, backs up one step, fills the gap, and continues without losing the thread."
7,Reading,Module 3: Explaining,"Can read two competing explanations of the same phenomenon, critically assess the underlying assumptions each relies on, and identify at least one unstated limitation in the more defensible explanation, using sophisticated inference and register awareness.","Given two articles explaining the same finding at different levels of certainty, the student identifies which one overstates its evidence, and also flags an unstated limitation in the more careful article's own methodology."
7,Writing,Module 3: Explaining,"Can write a nuanced, well-structured extended explanation that anticipates and addresses reader misunderstanding or an alternative account, explicitly acknowledges at least one limitation of its own explanation rather than presenting it as complete, and shows evidence of unprompted self-revision, using sophisticated cohesion, precise technical/abstract vocabulary, and flexible register control.","Asked to explain a technical process to a non-expert, the student writes a draft, adds a brief note acknowledging where the explanation simplifies something true experts would qualify further, then revises to remove jargon a lay reader wouldn't know."
7,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to two competing sets of instructions for the same task, critically assess gaps or unstated assumptions in each, and identify at least one assumption about user expertise that neither instruction set states outright. Speaking: Can give instructions with precision and rhetorical control, deliberately sequencing and emphasizing critical steps for a specified audience, self-monitoring and smoothly correcting at least one step given out of the most useful order.","Given two sets of instructions for assembling the same furniture, the student identifies that one skips a step that matters for stability, and notes both sets silently assume the user already knows how to use a specific tool; walking someone through a process aloud, the student realizes they gave step four before step three, calmly reorders it, and continues."
7,Reading,Module 4: Instructing,"Can read two competing sets of instructions for the same task, critically assess how each anticipates edge cases and varying user contexts, and identify at least one unstated assumption about the user both instruction sets share, using sophisticated inference and register awareness.","Given two recipes for the same dish, the student identifies which one better anticipates a common mistake like overcooking, and notes both recipes silently assume access to a specific piece of equipment."
7,Writing,Module 4: Instructing,"Can write a nuanced, well-structured extended set of instructions that anticipates edge cases and varying user contexts, explicitly states at least one assumption it's making about the user rather than leaving it implicit, and shows evidence of unprompted self-revision, using sophisticated cohesion, precise technical vocabulary, and flexible register control.","Asked to write instructions for a complex software setup, the student states upfront what prior knowledge the reader is assumed to have, then revises a draft after noticing a step assumes something beyond that stated baseline."
7,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to two expert-level evaluations of the same thing that apply different standards, critically assess what each counts as ""good,"" and identify at least one unstated interest or bias shaping one evaluator's standard. Speaking: Can evaluate with precision and rhetorical control, deliberately selecting and framing criteria to persuade a specified audience, self-monitoring and smoothly clarifying at least one criterion that comes across as vaguer than intended.","Given two laptop reviews, the student identifies each reviewer's standard for ""good"" and infers that one reviewer's harsh take on price is likely shaped by writing for a budget-focused audience, not stated outright; evaluating a service aloud, the student notices their own criterion (""good value"") sounded vague, clarifies what they actually mean, and continues."
7,Reading,Module 5: Evaluating,"Can read two expert-level evaluations of the same thing that apply different standards, critically assess which is more defensible for a stated purpose, and identify at least one unstated interest shaping one evaluator's chosen standard, using sophisticated inference and register awareness.","Given two restaurant reviews with opposite verdicts, the student identifies what each reviewer values most, and infers that one reviewer's harshness likely reflects an unstated expectation of fine-dining standards applied to a casual restaurant."
7,Writing,Module 5: Evaluating,"Can write a nuanced, well-structured extended evaluation that questions or refines its own criteria, explicitly names the standard it's applying rather than leaving it implicit, and shows evidence of unprompted self-revision, using sophisticated cohesion, precise evaluative/critical vocabulary, and flexible register control.","Asked to evaluate a service, the student states the standard they're judging by up front, then revises a draft after realizing the first version didn't clearly justify that standard."
7,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to two opposing expert-level arguments on the same issue, critically assess the logic of each, and identify at least one unstated premise either side is relying on without defending it. Speaking: Can construct an argument with precision and rhetorical control, deliberately sequencing claims and evidence for a specified audience, self-monitoring and smoothly strengthening at least one claim that comes across as weaker than intended once stated aloud.","Given arguments for and against remote work, the student identifies a logical gap in one side's reasoning and also names an unstated premise the stronger side never defends; arguing a position aloud, the student hears their own claim land weakly, immediately adds a concrete example to back it up, and continues."
7,Reading,Module 6: Arguing,"Can read two opposing extended arguments on the same issue, critically assess the strength of each side's logic and evidence, and identify at least one unstated premise underlying the stronger argument, using sophisticated inference and register awareness.","Given two opinion pieces on opposite sides of a policy debate, the student identifies which article's evidence is stronger, and also names an unstated premise that article relies on without ever defending it directly."
7,Writing,Module 6: Arguing,"Can write a nuanced, well-structured extended argument that anticipates multiple counterarguments and refutes or concedes them strategically, explicitly surfaces at least one premise its own argument depends on rather than leaving it assumed, and shows evidence of unprompted self-revision, using sophisticated cohesion, precise argumentative/rhetorical vocabulary, and flexible register control.","Asked to argue a position, the student states plainly the underlying premise their argument depends on, then revises a draft after noticing they hadn't addressed the strongest counterargument."
7,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to both parties' accounts of the same high-stakes transactional exchange, critically assess the strategies each used, and identify at least one unstated goal behind one party's approach that they never state directly. Speaking: Can carry out a transactional exchange with precision and rhetorical control, deliberately selecting strategy for a specified outcome, self-monitoring and smoothly softening at least one phrasing that comes across as more forceful than intended.","Given both sides' accounts of a billing dispute, the student identifies that one party used a more diplomatic opening and infers their unstated goal of preserving the business relationship, not just winning the dispute; negotiating aloud, the student hears their own phrasing come out sharper than intended, rephrases it more diplomatically, and continues without losing footing."
7,Reading,Module 7: Transacting,"Can read both parties' accounts of the same transactional exchange, critically assess the strategies each used, and identify at least one unstated goal behind one party's chosen strategy, using sophisticated inference and register awareness.","Given a customer's complaint email and the company's reply, the student identifies how the reply pre-empted the customer's likely follow-up objection, and infers the company's unstated goal of avoiding a formal complaint rather than just resolving the issue."
7,Writing,Module 7: Transacting,"Can write a nuanced, well-structured extended transactional communication that anticipates the reader's likely objections or needs and pre-empts them diplomatically, is explicit about the writer's own goal rather than leaving it only implied, and shows evidence of unprompted self-revision, using sophisticated cohesion, precise register-appropriate vocabulary, and flexible tone control.","Asked to write a complaint email, the student states their desired outcome plainly near the start, then revises a draft after noticing the tone could come across as too aggressive."
7,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to two accounts of the same delicate social exchange from different perspectives, critically assess the social strategies each used, and identify at least one unstated expectation or relationship history shaping one person's response. Speaking: Can navigate a social exchange with precision and rhetorical control, deliberately selecting social strategy for a specific relational outcome, self-monitoring and smoothly softening at least one comment that comes across more bluntly than intended.","Given two accounts of the same awkward moment at a party, the student identifies that one person's response saved face for everyone, and infers an unstated relationship history that explains why that person knew how to defuse it; chatting at a gathering, the student hears their own comment land more bluntly than intended, follows up warmly to soften it, and the conversation moves on naturally."
7,Reading,Module 8: Socializing,"Can read two accounts of the same delicate social exchange, critically assess the social strategies each participant used, and identify at least one unstated expectation or relationship history shaping one participant's response, using sophisticated inference and register awareness.","Given two messages responding to the same sensitive situation, the student identifies which one better reads the relationship history between the people involved, and names the specific unstated expectation that message is responding to."
